customer_id,date_of_birth,nationality,country_of_residence,occupation,employment_status,customer_since
ID_C00032,1948-01-10,Morocco,Spain,Retired,Retired,2022-11-10
ID_C00033,1983-03-24,Spain,Spain,Business and management professional,Self-employed,2024-10-08
ID_C00034,1987-03-15,Spain,Spain,Education professional,Employed,2023-12-08
ID_C00035,1980-04-16,China,Spain,Care worker,Employed,2018-09-08
ID_C00036,1993-10-04,Spain,Spain,Restaurant worker,Employed,2019-08-31
ID_C00037,1991-08-07,Spain,Spain,Manufacturing worker,Employed,2021-01-21
ID_C00038,1980-12-27,Spain,Spain,Restaurant worker,Employed,2019-01-21
ID_C00039,1996-05-08,Spain,Spain,Care worker,Employed,2021-12-30
ID_C00040,1962-12-05,Spain,Spain,Driver,Employed,2018-01-23
ID_C00041,1973-01-17,Spain,Spain,Security worker,Employed,2018-10-18
ID_C00042,1952-07-03,Spain,Spain,Retired,Retired,2018-05-01
ID_C00043,1966-10-19,Spain,Spain,Administrative worker,Employed,2020-01-26
ID_C00044,1987-07-14,Spain,Spain,Business and management professional,Employed,2023-05-04
ID_C00045,1953-12-07,Spain,Spain,Retired,Retired,2019-03-30
ID_C00046,1959-04-25,Spain,Spain,Other / inactive,Other,2024-11-29
ID_C00047,1988-01-13,Spain,Spain,Healthcare professional,Employed,2019-11-21
ID_C00048,1984-10-09,Spain,Spain,Unemployed,Unemployed,2018-04-25
ID_C00049,1964-01-25,Spain,Spain,Other / inactive,Other,2020-05-07
ID_C00050,1999-10-07,Spain,Spain,Manufacturing worker,Employed,2023-03-28
ID_C00051,1995-09-25,Spain,Spain,Construction worker,Employed,2018-09-30
ID_C00052,2005-11-05,Spain,Spain,Unemployed,Unemployed,2018-07-03
ID_C00053,1955-06-24,Morocco,Spain,Retired,Retired,2023-12-12
ID_C00054,1961-11-23,Spain,Spain,Business and management professional,Employed,2022-02-23
ID_C00055,1970-03-03,Spain,Spain,Agricultural worker,Employed,2020-05-27
ID_C00056,1951-06-08,Spain,Spain,Retired,Retired,2023-04-18
ID_C00057,1976-02-14,Spain,Spain,Shop owner,Employed,2023-11-29
ID_C00058,1973-10-07,Spain,Spain,Other / inactive,Other,2020-07-07
ID_C00059,1996-09-17,Spain,Spain,Other / inactive,Other,2021-12-05
ID_C00060,1997-10-22,France,Spain,Healthcare professional,Employed,2018-01-28
ID_C00061,1963-10-06,Spain,Spain,Driver,Self-employed,2020-02-22
ID_C00062,1974-04-23,Spain,Spain,Healthcare professional,Employed,2022-03-02
ID_C00063,1979-01-25,Argentina,Spain,Unemployed,Unemployed,2019-05-19
ID_C00064,1953-12-06,Spain,Spain,Retired,Retired,2024-12-09
ID_C00065,1963-06-29,Spain,Spain,Other / inactive,Other,2024-10-19
ID_C00066,1977-02-04,Ecuador,Spain,Unemployed,Unemployed,2019-10-21
ID_C00067,1971-12-05,Venezuela,Spain,Healthcare professional,Employed,2020-10-10
ID_C00068,1984-12-28,Spain,Spain,Care worker,Employed,2019-04-30
ID_C00069,2005-06-12,Spain,Spain,Shop owner,Employed,2021-07-12
ID_C00070,1980-10-08,Spain,Spain,Shop owner,Employed,2018-11-13
ID_C00071,1994-01-14,Spain,Spain,Sales representative,Employed,2020-09-26
ID_C00072,1978-02-04,Spain,Spain,Unemployed,Unemployed,2021-11-20
ID_C00073,1953-04-11,Spain,Spain,Retired,Retired,2022-04-14
ID_C00074,1985-08-28,Spain,Spain,Security worker,Employed,2022-03-06
ID_C00075,2004-02-18,Spain,Spain,Student,Student,2019-07-21
ID_C00076,1989-01-13,Spain,Spain,Agricultural worker,Employed,2023-07-19
ID_C00077,1983-09-02,Spain,Spain,Other / inactive,Other,2022-11-04
ID_C00078,1969-10-09,Spain,Spain,Manufacturing worker,Employed,2023-04-10
ID_C00079,1976-09-26,Brazil,Spain,Restaurant worker,Employed,2021-04-11
ID_C00080,1952-10-18,Spain,Spain,Retired,Retired,2024-04-01
ID_C00081,1961-10-21,Spain,Spain,Other / inactive,Other,2020-09-23
ID_C00082,1971-08-08,Spain,Spain,Sales representative,Employed,2023-08-23
ID_C00083,1951-07-09,Spain,Spain,Personal service worker,Self-employed,2019-06-05
ID_C00084,1995-11-09,Spain,Spain,Driver,Self-employed,2019-09-25
ID_C00085,2006-05-08,Spain,Spain,Administrative worker,Employed,2021-09-08
ID_C00086,1992-02-05,Spain,Spain,Other / inactive,Other,2021-11-22
ID_C00087,1962-10-02,Spain,Spain,Unemployed,Unemployed,2023-03-24
ID_C00088,1971-04-11,Morocco,Spain,Other / inactive,Other,2020-01-31
ID_C00089,1994-12-24,Spain,Spain,Shop owner,Employed,2024-02-10
ID_C00090,1979-06-01,Spain,Spain,Shop owner,Self-employed,2020-04-23
ID_C00091,1995-11-07,Spain,Spain,Manufacturing worker,Employed,2021-09-27
ID_C00092,1966-01-16,Spain,Spain,Personal service worker,Employed,2024-07-10
ID_C00093,1972-08-28,Spain,Spain,Unemployed,Unemployed,2021-10-11
ID_C00094,1987-06-13,Spain,Spain,Other / inactive,Other,2022-10-10
ID_C00095,1987-06-18,Spain,Spain,Healthcare professional,Self-employed,2024-05-12
ID_C00096,1970-04-07,Romania,Spain,Driver,Employed,2024-10-28
ID_C00097,1982-12-21,Spain,Spain,Sales representative,Employed,2021-06-30
ID_C00098,2002-05-24,Spain,Spain,Student,Student,2020-12-02
ID_C00099,2000-11-06,Spain,Spain,Sales representative,Employed,2019-05-19
ID_C00100,1944-06-04,Romania,Spain,Retired,Retired,2021-10-06
ID_C00101,1943-01-18,Spain,Spain,Retired,Retired,2024-06-06
ID_C00102,1966-11-17,Spain,Spain,Construction worker,Employed,2021-05-30
ID_C00103,1981-03-09,Spain,Spain,Security worker,Self-employed,2020-06-10
ID_C00104,1948-04-08,Portugal,Spain,Retired,Retired,2018-10-02
ID_C00105,1957-11-11,Spain,Spain,Other / inactive,Other,2020-09-23
ID_C00106,1969-11-23,Spain,Spain,Administrative worker,Employed,2019-08-29
ID_C00107,1978-12-01,Spain,Spain,Business and management professional,Employed,2024-11-02
ID_C00108,1981-06-05,United Kingdom,Spain,Driver,Employed,2021-09-11
ID_C00109,1991-10-04,Spain,Spain,Driver,Employed,2018-12-17
ID_C00110,1950-04-30,Spain,Spain,Other / inactive,Other,2018-06-22
ID_C00111,1974-09-28,Spain,Spain,Retail worker,Employed,2023-12-16
ID_C00112,1998-07-03,Spain,Spain,Restaurant worker,Employed,2024-07-09
ID_C00113,1989-01-19,Spain,Spain,Other / inactive,Other,2023-05-05
ID_C00114,1978-06-02,Spain,Spain,Other / inactive,Other,2018-11-13
ID_C00115,1999-06-20,Spain,Spain,Agricultural worker,Employed,2018-09-09
ID_C00116,1956-04-03,Germany,Spain,Retired,Retired,2019-05-22
ID_C00117,1951-05-17,Morocco,Spain,Retired,Retired,2023-04-05
ID_C00118,1965-07-03,Spain,Spain,Administrative worker,Employed,2023-05-11
ID_C00119,1973-01-19,Spain,Spain,Healthcare professional,Employed,2023-11-13
ID_C00120,1966-02-25,Spain,Spain,Business and management professional,Employed,2018-09-05
ID_C00121,1970-10-07,Spain,Spain,Unemployed,Unemployed,2019-01-27
ID_C00122,1970-05-09,Spain,Spain,Sales representative,Employed,2024-04-21
ID_C00123,2006-08-11,Brazil,Spain,Education professional,Employed,2024-07-02
ID_C00124,1978-07-26,Spain,Spain,Driver,Employed,2023-01-30
ID_C00125,2002-07-21,Spain,Spain,Restaurant worker,Employed,2018-09-29
ID_C00126,1972-05-30,Venezuela,Spain,Security worker,Employed,2018-06-25
ID_C00127,1982-06-26,Spain,Spain,Unemployed,Unemployed,2018-05-23
ID_C00128,1994-10-28,Spain,Spain,Other / inactive,Other,2022-11-05
ID_C00129,1995-12-19,Spain,Spain,Healthcare professional,Employed,2023-12-04
ID_C00130,1964-04-03,Spain,Spain,Retail worker,Employed,2022-06-04
ID_C00131,1996-09-01,Spain,Spain,Education professional,Employed,2019-11-02
ID_C00132,1940-12-19,Spain,Spain,Retired,Retired,2023-04-21
ID_C00133,1963-01-03,Venezuela,Spain,Other / inactive,Other,2018-06-01
ID_C00134,1983-10-14,Spain,Spain,Care worker,Employed,2023-10-19
ID_C00135,1964-06-30,Spain,Spain,Education professional,Self-employed,2024-03-30
ID_C00136,2007-12-20,Spain,Spain,Student,Student,2023-01-11
ID_C00137,1939-07-31,Spain,Spain,Retired,Retired,2024-02-27
ID_C00138,1977-11-02,Spain,Spain,Agricultural worker,Employed,2022-02-07
ID_C00139,1953-03-02,Spain,Spain,Retired,Retired,2021-04-12
ID_C00140,2004-02-21,Spain,Spain,Restaurant worker,Employed,2020-04-04
ID_C00141,1972-12-04,Spain,Spain,Care worker,Employed,2024-06-14
ID_C00142,1977-07-12,Russia,Spain,Administrative worker,Employed,2022-11-18
ID_C00143,1936-07-22,Spain,Spain,Retired,Retired,2019-05-03
ID_C00144,1972-03-03,Spain,Spain,Administrative worker,Employed,2024-09-12
ID_C00145,1977-03-24,Spain,Spain,Other / inactive,Other,2018-06-01
ID_C00146,1986-10-26,Romania,Spain,Retail worker,Employed,2022-02-11
ID_C00147,1985-04-21,Spain,Spain,Personal service worker,Employed,2019-05-03
ID_C00148,1973-08-02,Spain,Spain,Accounting and financial support worker,Employed,2022-08-26
ID_C00149,1974-04-26,Spain,Spain,Education professional,Employed,2020-11-21
ID_C00150,2002-04-07,Spain,Spain,Student,Student,2021-01-22
ID_C00151,1957-03-02,Spain,Spain,Retired,Retired,2022-09-14
ID_C00152,1942-12-06,Spain,Spain,Other / inactive,Other,2023-04-18
ID_C00153,1996-12-09,Spain,Spain,Restaurant worker,Employed,2020-08-29
ID_C00154,1971-02-12,Spain,Spain,Manufacturing worker,Employed,2024-12-26
ID_C00155,1997-05-09,Romania,Spain,Sales representative,Employed,2021-06-28
ID_C00156,1965-07-25,Spain,Spain,Restaurant worker,Employed,2019-02-15
ID_C00157,1989-05-20,Spain,Spain,Restaurant worker,Employed,2018-01-17
ID_C00158,1962-09-21,Spain,Spain,Security worker,Employed,2019-06-02
ID_C00159,1967-04-05,Spain,Spain,Business and management professional,Employed,2022-11-03
ID_C00160,1957-01-22,Spain,Spain,Retired,Retired,2021-10-11
ID_C00161,1995-05-03,Spain,Spain,Other / inactive,Other,2020-05-13
ID_C00162,1943-08-07,United Kingdom,Spain,Retired,Retired,2021-05-15
ID_C00163,1982-03-07,Morocco,Spain,Unemployed,Unemployed,2023-11-14
ID_C00164,2004-10-24,Colombia,Spain,Student,Student,2022-01-01
ID_C00165,1975-01-05,Morocco,Spain,Care worker,Employed,2018-05-29
ID_C00166,1989-01-25,Morocco,Spain,Unemployed,Unemployed,2018-05-06
ID_C00167,1960-07-04,Spain,Spain,Retired,Retired,2021-05-17
ID_C00168,1957-07-06,Spain,Spain,Shop owner,Employed,2020-10-30
ID_C00169,1981-04-18,Spain,Spain,Construction worker,Employed,2023-12-15
ID_C00170,1936-04-04,Spain,Spain,Retired,Retired,2022-01-30
ID_C00171,1984-01-26,Spain,Spain,Unemployed,Unemployed,2023-04-20
ID_C00172,1974-08-30,Spain,Spain,Driver,Employed,2022-02-05
ID_C00173,1987-05-19,Spain,Spain,Construction worker,Employed,2020-06-01
ID_C00174,1948-02-13,Spain,Spain,Retired,Retired,2022-08-08
ID_C00175,2000-05-25,Spain,Spain,Cleaning worker,Employed,2022-05-08
ID_C00176,2005-12-09,Spain,Spain,Other / inactive,Other,2023-01-16
ID_C00177,1977-04-06,Spain,Spain,Healthcare professional,Employed,2019-04-29
ID_C00178,1947-11-23,Spain,Spain,Retired,Retired,2022-06-29
ID_C00179,1946-04-05,Spain,Spain,Education professional,Employed,2019-12-31
ID_C00180,1970-03-09,Spain,Spain,Cleaning worker,Employed,2023-07-14
ID_C00181,1941-04-06,Spain,Spain,Retired,Retired,2023-08-04
ID_C00182,1936-04-27,Spain,Spain,Retired,Retired,2022-05-17
ID_C00183,1974-02-14,Spain,Spain,Science and engineering professional,Employed,2024-08-17
ID_C00184,1986-08-03,Spain,Spain,Education professional,Self-employed,2021-10-06
ID_C00185,1956-05-01,Spain,Spain,Retired,Retired,2018-03-06
ID_C00186,1967-09-20,Spain,Spain,Administrative worker,Employed,2022-03-31
ID_C00187,1989-06-29,France,Spain,Security worker,Employed,2023-06-12
ID_C00188,1995-06-11,Spain,Spain,Care worker,Self-employed,2018-09-16
ID_C00189,1965-06-21,China,Spain,Unemployed,Unemployed,2018-09-25
ID_C00190,1990-02-27,Spain,Spain,Business and management professional,Employed,2019-11-30
ID_C00191,1944-09-17,Spain,Spain,Retired,Retired,2023-11-29
ID_C00192,1988-02-08,Spain,Spain,Other / inactive,Other,2021-09-10
ID_C00193,1999-09-21,Spain,Spain,Personal service worker,Employed,2024-11-01
ID_C00194,1953-12-31,Spain,Spain,Retired,Retired,2024-02-11
ID_C00195,1995-10-06,Spain,Spain,Science and engineering professional,Employed,2021-11-19
ID_C00196,1994-06-16,Spain,Spain,Retail worker,Employed,2022-10-03
ID_C00197,1963-04-25,Spain,Spain,Unemployed,Unemployed,2020-04-26
ID_C00198,1951-11-15,Spain,Spain,Retired,Retired,2018-08-20
ID_C00199,1992-04-03,Romania,Spain,Construction worker,Self-employed,2020-10-16
ID_C00200,1984-06-25,Spain,Spain,Care worker,Employed,2022-02-23
ID_C00201,1952-10-08,Spain,Spain,Retired,Retired,2019-04-11
ID_C00202,1943-12-03,Spain,Spain,Retired,Retired,2019-07-21
ID_C00203,1971-12-03,Spain,Spain,Healthcare professional,Employed,2018-02-08
ID_C00204,1993-02-02,Spain,Spain,Education professional,Employed,2023-02-20
ID_C00205,2003-11-24,Romania,Spain,Student,Student,2024-04-18
ID_C00206,1991-02-11,Italy,Spain,Healthcare professional,Employed,2023-10-17
ID_C00207,1995-08-02,Spain,Spain,Construction worker,Employed,2020-08-29
ID_C00208,1963-12-06,Spain,Spain,Administrative worker,Self-employed,2022-02-26
ID_C00209,1998-08-28,Spain,Spain,Restaurant worker,Employed,2024-09-22
ID_C00210,1971-12-12,Spain,Spain,Personal service worker,Employed,2022-02-21
ID_C00211,1964-05-05,Spain,Spain,Manufacturing worker,Self-employed,2020-01-27
ID_C00212,1963-04-25,Spain,Spain,Restaurant worker,Self-employed,2020-05-15
ID_C00213,1996-04-29,Spain,Spain,Unemployed,Unemployed,2023-02-03
ID_C00214,1952-05-09,Spain,Spain,Retired,Retired,2021-02-15
ID_C00215,1970-09-07,China,Spain,Unemployed,Unemployed,2023-11-11
ID_C00216,1969-06-15,Spain,Spain,Manufacturing worker,Employed,2024-01-19
ID_C00217,1995-09-27,Pakistan,Spain,Education professional,Employed,2018-04-02
ID_C00218,1993-06-01,Spain,Spain,Manufacturing worker,Employed,2023-01-24
ID_C00219,1938-04-23,Spain,Spain,Retired,Retired,2020-08-03
ID_C00220,1976-03-10,Spain,Spain,Shop owner,Employed,2021-08-22
ID_C00221,1984-07-20,Spain,Spain,Education professional,Employed,2019-11-09
ID_C00222,1975-11-24,Spain,Spain,Business and management professional,Self-employed,2020-07-30
ID_C00223,1961-11-10,Spain,Spain,Shop owner,Employed,2020-04-24
ID_C00224,1940-04-02,Pakistan,Spain,Retired,Retired,2018-05-09
ID_C00225,1986-06-24,Spain,Spain,Manufacturing worker,Employed,2023-06-25
ID_C00226,1935-09-15,Spain,Spain,Retired,Retired,2019-01-01
ID_C00227,2007-08-12,Spain,Spain,Student,Student,2020-08-18
ID_C00228,1971-01-25,Spain,Spain,Shop owner,Employed,2019-05-09
ID_C00229,1969-08-04,Spain,Spain,Sales representative,Employed,2019-02-15
ID_C00230,1998-01-15,Spain,Spain,Retail worker,Self-employed,2020-08-12
ID_C00231,1992-02-12,Romania,Spain,Other / inactive,Other,2024-06-07
ID_C00232,1973-08-27,Spain,Spain,Agricultural worker,Employed,2024-08-11
ID_C00233,1935-02-07,Spain,Spain,Retired,Retired,2020-09-03
ID_C00234,1963-05-04,Spain,Spain,Unemployed,Unemployed,2021-07-15
ID_C00235,1940-08-02,Spain,Spain,Other / inactive,Other,2024-11-25
ID_C00236,1957-08-28,Romania,Spain,Retired,Retired,2019-08-24
ID_C00237,1980-06-11,Spain,Spain,Unemployed,Unemployed,2024-08-12
ID_C00238,1959-02-04,Spain,Spain,Other / inactive,Other,2018-09-28
ID_C00239,2005-10-19,Spain,Spain,Care worker,Employed,2019-08-01
ID_C00240,2000-12-12,Spain,Spain,Care worker,Employed,2020-05-15
ID_C00241,1955-11-21,Spain,Spain,Retired,Retired,2018-04-05
ID_C00242,1953-10-01,Spain,Spain,Retired,Retired,2023-09-17
ID_C00243,1981-05-27,Spain,Spain,Administrative worker,Employed,2023-12-28
ID_C00244,1976-11-15,Spain,Spain,Care worker,Employed,2020-09-07
ID_C00245,1962-06-28,Italy,Spain,Restaurant worker,Employed,2023-11-09
ID_C00246,1951-02-19,Spain,Spain,Retired,Retired,2023-05-30
ID_C00247,1962-11-07,Spain,Spain,Business and management professional,Employed,2023-08-12
ID_C00248,1976-04-26,Spain,Spain,Unemployed,Unemployed,2023-08-15
ID_C00249,1987-12-09,United Kingdom,Spain,Retail worker,Employed,2022-01-06
ID_C00250,1971-05-15,Spain,Spain,Business and management professional,Employed,2018-10-11
ID_C00251,1968-11-13,Spain,Spain,Agricultural worker,Self-employed,2024-06-19
ID_C00252,1956-07-15,Spain,Spain,Construction worker,Employed,2022-04-06
ID_C00253,1980-06-19,Spain,Spain,Other / inactive,Other,2024-04-23
ID_C00254,1983-04-19,Spain,Spain,Unemployed,Unemployed,2024-09-18
ID_C00255,1984-11-01,Spain,Spain,Unemployed,Unemployed,2019-04-24
ID_C00256,1970-01-23,Spain,Spain,Sales representative,Employed,2020-10-25
ID_C00257,1958-06-21,Italy,Spain,Retired,Retired,2019-05-08
ID_C00258,1995-05-15,Spain,Spain,Driver,Employed,2018-05-11
ID_C00259,2004-07-17,Spain,Spain,Shop owner,Employed,2024-10-07
ID_C00260,1962-04-03,Spain,Spain,Other / inactive,Other,2024-06-18
ID_C00261,1998-08-31,Spain,Spain,Business and management professional,Employed,2024-07-10
ID_C00262,1951-05-21,Spain,Spain,Retired,Retired,2024-03-09
ID_C00263,1986-03-10,Spain,Spain,Cleaning worker,Employed,2022-07-17
ID_C00264,1992-03-12,Peru,Spain,Restaurant worker,Employed,2021-08-28
ID_C00265,1947-09-12,Spain,Spain,Retired,Retired,2024-12-10
ID_C00266,2000-04-05,Spain,Spain,Healthcare professional,Employed,2021-11-13
ID_C00267,1990-04-23,Spain,Spain,Other / inactive,Other,2022-07-01
ID_C00268,1997-08-17,Spain,Spain,Construction worker,Employed,2019-06-26
ID_C00269,1991-05-01,Spain,Spain,Unemployed,Unemployed,2023-03-25
ID_C00270,2007-05-22,Spain,Spain,Manufacturing worker,Employed,2023-09-27
ID_C00271,2005-03-31,United Kingdom,Spain,Student,Student,2022-10-01
ID_C00272,1999-05-07,Spain,Spain,Business and management professional,Employed,2021-06-28
ID_C00273,2001-09-10,Colombia,Spain,Restaurant worker,Employed,2019-05-21
ID_C00274,1964-07-13,Spain,Spain,Agricultural worker,Employed,2018-03-28
ID_C00275,1963-12-31,Spain,Spain,Unemployed,Unemployed,2022-05-24
ID_C00276,1973-10-09,Spain,Spain,Cleaning worker,Employed,2022-10-13
ID_C00277,1984-01-07,Romania,Spain,Agricultural worker,Employed,2023-05-30
ID_C00278,1973-05-19,Spain,Spain,Unemployed,Unemployed,2024-08-27
ID_C00279,1960-04-15,Spain,Spain,Retired,Retired,2021-06-25
ID_C00280,1952-08-02,Spain,Spain,Retired,Retired,2023-10-22
ID_C00281,2002-04-07,Spain,Spain,Other / inactive,Other,2023-01-06
ID_C00282,1993-12-19,Spain,Spain,Healthcare professional,Employed,2019-12-10
ID_C00283,1987-04-20,Spain,Spain,Care worker,Employed,2023-12-01
ID_C00284,1982-07-10,Romania,Spain,Manufacturing worker,Employed,2018-05-17
ID_C00285,1977-02-14,Spain,Spain,Healthcare professional,Employed,2022-03-12
ID_C00286,1980-11-28,Spain,Spain,Science and engineering professional,Self-employed,2024-08-01
ID_C00287,2001-11-29,Spain,Spain,Shop owner,Employed,2022-08-12
ID_C00288,1988-10-16,Spain,Spain,Restaurant worker,Employed,2024-07-24
ID_C00289,1979-05-09,Spain,Spain,Unemployed,Unemployed,2018-05-24
ID_C00290,1994-01-22,Spain,Spain,Retail worker,Employed,2021-09-23
ID_C00291,1958-09-17,Spain,Spain,Retired,Retired,2023-06-20
ID_C00292,2001-06-06,Spain,Spain,Science and engineering professional,Employed,2022-07-01
ID_C00293,1943-12-28,Spain,Spain,Other / inactive,Other,2024-03-01
ID_C00294,2000-09-11,Spain,Spain,Cleaning worker,Employed,2021-03-28
ID_C00295,1951-07-16,Spain,Spain,Retired,Retired,2022-10-12
ID_C00296,1942-12-27,Spain,Spain,Retired,Retired,2020-12-09
ID_C00297,1946-10-20,Spain,Spain,Retail worker,Employed,2024-02-09
ID_C00298,1954-06-17,Spain,Spain,Retired,Retired,2018-11-02
ID_C00299,1955-01-07,Morocco,Spain,Retired,Retired,2019-10-12
ID_C00300,1970-02-03,Spain,Spain,Construction worker,Self-employed,2018-09-05
ID_C00301,1953-06-11,Spain,Spain,Retired,Retired,2022-12-01
ID_C00302,1996-07-24,Spain,Spain,Business and management professional,Employed,2019-08-19
ID_C00303,1974-01-12,Spain,Spain,Driver,Employed,2020-03-21
ID_C00304,1972-02-16,Spain,Spain,Driver,Employed,2023-11-10
ID_C00305,1954-09-15,Spain,Spain,Retired,Retired,2020-07-09
ID_C00306,1974-10-02,Spain,Spain,Unemployed,Unemployed,2019-01-08
ID_C00307,1988-01-11,Morocco,Spain,Agricultural worker,Employed,2018-02-23
ID_C00308,1968-07-04,Spain,Spain,Sales representative,Self-employed,2019-08-03
ID_C00309,1986-01-30,Spain,Spain,Other / inactive,Other,2024-05-27
ID_C00310,1992-09-21,Spain,Spain,Agricultural worker,Employed,2021-11-03
ID_C00311,1975-11-01,Honduras,Spain,Administrative worker,Employed,2024-12-18
ID_C00312,1977-11-14,Spain,Spain,Other / inactive,Other,2019-07-05
ID_C00313,1983-08-07,Spain,Spain,Shop owner,Employed,2020-06-17
ID_C00314,1982-08-18,Spain,Spain,Security worker,Self-employed,2019-02-22
ID_C00315,1981-12-05,Spain,Spain,Retail worker,Self-employed,2020-10-15
ID_C00316,1988-08-11,Romania,Spain,Accounting and financial support worker,Employed,2021-12-11
ID_C00317,1983-06-12,Spain,Spain,Construction worker,Employed,2023-08-29
ID_C00318,1965-10-03,Spain,Spain,Retail worker,Employed,2020-07-30
ID_C00319,1986-08-04,Spain,Spain,Restaurant worker,Employed,2023-05-27
ID_C00320,1944-11-03,Spain,Spain,Retired,Retired,2022-05-21
ID_C00321,1949-07-11,Colombia,Spain,Retired,Retired,2020-01-17
ID_C00322,1978-11-14,Spain,Spain,Science and engineering professional,Self-employed,2024-05-21
ID_C00323,1985-01-17,Spain,Spain,Unemployed,Unemployed,2021-01-15
ID_C00324,1972-01-14,United Kingdom,Spain,Unemployed,Unemployed,2019-01-22
ID_C00325,1952-02-06,Spain,Spain,Retired,Retired,2024-09-27
ID_C00326,1969-07-23,Spain,Spain,Education professional,Employed,2024-05-24
ID_C00327,1954-09-16,Spain,Spain,Retired,Retired,2018-05-07
ID_C00328,1980-03-19,Spain,Spain,Driver,Employed,2024-04-26
ID_C00329,1964-02-26,Spain,Spain,Other / inactive,Other,2024-08-19
ID_C00330,1987-11-11,Spain,Spain,Retail worker,Employed,2023-10-21
ID_C00331,1966-10-01,Spain,Spain,Administrative worker,Employed,2019-10-15
ID_C00332,1993-08-25,Argentina,Spain,Unemployed,Unemployed,2022-06-03
ID_C00333,1966-06-28,Colombia,Spain,Administrative worker,Employed,2021-10-08
ID_C00334,1952-06-02,Spain,Spain,Retired,Retired,2022-05-05
ID_C00335,1995-01-08,Ecuador,Spain,Sales representative,Employed,2022-04-26
ID_C00336,1961-03-10,Spain,Spain,Healthcare professional,Employed,2022-06-23
ID_C00337,1994-11-24,Spain,Spain,Education professional,Self-employed,2021-08-07
ID_C00338,1968-05-03,Spain,Spain,Care worker,Employed,2022-11-01
ID_C00339,2002-09-15,Spain,Spain,Unemployed,Unemployed,2021-09-08
ID_C00340,1944-09-13,Spain,Spain,Cleaning worker,Employed,2018-02-12
ID_C00341,1995-04-23,Spain,Spain,Unemployed,Unemployed,2018-04-01
ID_C00342,1948-03-15,Spain,Spain,Retired,Retired,2024-09-15
ID_C00343,1959-09-10,Spain,Spain,Retired,Retired,2024-05-13
ID_C00344,1965-02-04,Spain,Spain,Unemployed,Unemployed,2022-02-06
ID_C00345,1959-06-30,Spain,Spain,Retired,Retired,2019-03-23
ID_C00346,1951-11-21,Spain,Spain,Retired,Retired,2023-06-22
ID_C00347,1937-09-17,Spain,Spain,Retired,Retired,2019-01-02
ID_C00348,1983-10-06,Spain,Spain,Security worker,Employed,2020-08-22
ID_C00349,1963-01-31,Pakistan,Spain,Retail worker,Self-employed,2020-04-23
ID_C00350,1995-03-14,Spain,Spain,Other / inactive,Other,2018-02-01
ID_C00351,1970-04-11,Spain,Spain,Education professional,Self-employed,2023-08-26
ID_C00352,1997-04-17,Spain,Spain,Healthcare professional,Employed,2021-07-27
ID_C00353,1976-03-11,Spain,Spain,Unemployed,Unemployed,2020-03-19
